bam_accession	fragment_length	bam_accession_control	fragment_length_control	target	biosample	experiment_accession
ENCFF710LJW	160	ENCFF621ETP	130	H3K27ac-human	mesendodermoriginatedfromH1	ENCSR473PNT
ENCFF663SAM	130	ENCFF572GEP	110	H3K27ac-human	H1	ENCSR880SUY
ENCFF948UXT	110	ENCFF572GEP	110	H3K27ac-human	H1	ENCSR880SUY
ENCFF839GSN	235	ENCFF281TXN	235	H3K27ac-human	thyroidglandmaleadult37years	ENCSR597BWL
ENCFF603FIA	240	ENCFF281TXN	235	H3K27ac-human	thyroidglandmaleadult37years	ENCSR597BWL
ENCFF258BZL	195	ENCFF302HIW	170	H3K27ac-human	gastrocnemiusmedialismaleadult54years	ENCSR948YYZ
ENCFF405TRE	230	ENCFF302HIW	170	H3K27ac-human	gastrocnemiusmedialismaleadult54years	ENCSR948YYZ
ENCFF233XIN	190	ENCFF228XSQ	95	H3K27ac-human	bodyofpancreasfemaleadult53years	ENCSR748TFF
ENCFF470BXZ	225	ENCFF817BRE	1175	H3K27ac-human	stomachfemaleadult51years	ENCSR751BHO
ENCFF988VMF	230	ENCFF691EEI	180	H3K27ac-human	OCILY3	ENCSR857GMX
ENCFF132KAK	180	ENCFF691EEI	180	H3K27ac-human	OCILY3	ENCSR857GMX
ENCFF785RYZ	250	ENCFF590RZJ	240	H3K27ac-human	bodyofpancreasmaleadult54years	ENCSR596PFU
ENCFF435TMF	195	ENCFF329YPE	115	H3K27ac-human	transversecolonmaleadult54years	ENCSR069EGE
ENCFF477BWJ	230	ENCFF329YPE	115	H3K27ac-human	transversecolonmaleadult54years	ENCSR069EGE
ENCFF826AZF	170	ENCFF615RXB	230	H3K27ac-human	neuralprogenitorcelloriginatedfromH9	ENCSR449AXO
ENCFF802FBW	185	ENCFF615RXB	230	H3K27ac-human	neuralprogenitorcelloriginatedfromH9	ENCSR449AXO
ENCFF351KZG	235	ENCFF981WUC	475	H3K27ac-human	upperlobeofleftlungfemaleadult51years	ENCSR453MUW
ENCFF228BTY	150	ENCFF638YZB	135	H3K27ac-human	fibroblastofdermis	ENCSR000APN
