bam_accession	fragment_length	biosample	experiment_accession
ENCFF166WYW	36	leftlungfemaleembryo110days	ENCSR960EJV
ENCFF072MYZ	36	lungmaleembryo103days	ENCSR318WOD
ENCFF557GXL	36	smoothmusclecellofthebrainvasculaturefemale	ENCSR000ENG
ENCFF994IJJ	36	smoothmusclecellofthebrainvasculaturefemale	ENCSR000ENG
ENCFF696DIP	36	muscleofarmmaleembryo97days	ENCSR619BNL
ENCFF251DCE	20	K562treatedwith1mcMvorinostatfor72hours	ENCSR000EKN
ENCFF068TZW	36	adrenalglandmaleembryo101days	ENCSR080PZL
ENCFF575XDP	36	Tcellmaleadult37years	ENCSR366YTD
ENCFF577AHY	36	kidneymaleembryo87days	ENCSR262QJC
ENCFF315GZT	36	LNCaPcloneFGC	ENCSR000EPF
ENCFF381SPW	36	LNCaPcloneFGC	ENCSR000EPF
ENCFF374WUU	36	mesendodermoriginatedfromH1	ENCSR714DIF
ENCFF307RHR	36	adrenalglandfemaleembryo113days	ENCSR696XSJ
ENCFF592MMI	36	dermisbloodvesselendothelialcellmalenewborn	ENCSR000EOC
ENCFF667MNJ	36	dermisbloodvesselendothelialcellmalenewborn	ENCSR000EOC
ENCFF342EWC	20	HeLaS3	ENCSR000EJT
ENCFF899HTN	36	stomachfemaleembryo108days	ENCSR511GQA
ENCFF466FQO	36	COLO829	ENCSR000EIN
ENCFF167OTD	36	NCIH460	ENCSR000FJH
ENCFF799QKF	36	Bcellmaleadult37years	ENCSR247IUJ
ENCFF053AZF	20	CWRU1	ENCSR000EKI
ENCFF992SEG	36	dermisbloodvesselendothelialcellmalenewborn	ENCSR000ENZ
ENCFF726WDV	36	dermisbloodvesselendothelialcellmalenewborn	ENCSR000ENZ
ENCFF441LQP	36	muscleofarmmaleembryo120days	ENCSR452EGE
ENCFF204MVL	36	smallintestinefemaleembryo110days	ENCSR083FBK
ENCFF114DWM	36	kidneymaleembryo105days	ENCSR499PZA
ENCFF261AQB	36	forelimbmusclefemaleembryo108days	ENCSR166TEE
ENCFF641XHB	36	leftrenalcortexinterstitiummaleembryo105days	ENCSR928SYE
ENCFF315IYJ	36	regulatoryTcellmaleadult28years	ENCSR000EQK
ENCFF770CVV	36	skeletalmusclemyoblast	ENCSR000EOO
ENCFF282HMY	36	lungfemaleembryo85days	ENCSR141VGA
ENCFF730LDQ	20	HepG2	ENCSR000EJV
ENCFF775KUS	36	stomachfemaleembryo107days	ENCSR082XEU
ENCFF620SQA	36	smallintestinefemaleembryo91days	ENCSR457ILW
ENCFF992HOZ	36	muscleoflegfemaleembryo105days	ENCSR286WIA
ENCFF595DJX	20	iPSNIHi7originatedfromAG08395	ENCSR000EKK
ENCFF423VZM	36	muscleofbackfemaleembryo105days	ENCSR033STL
ENCFF708IUW	36	leftkidneyfemaleembryo110days	ENCSR974TXT
ENCFF099CBN	36	renalcortexinterstitiumfemaleembryo89days	ENCSR851ZFT
ENCFF423OOK	36	renalpelvismaleembryo97days	ENCSR364TKL
ENCFF544XES	36	leftlungfemaleembryo98days	ENCSR006XED
ENCFF838ACP	36	muscleofarmmaleembryo97days	ENCSR649PJN
ENCFF881KPD	36	AG04449	ENCSR000ELX
ENCFF279WTM	36	AG04449	ENCSR000ELX
ENCFF485KBE	36	adrenalglandmaleembryo85days	ENCSR856QJX
ENCFF336FMK	36	cardiacfibroblastfemaleadult	ENCSR000ENI
ENCFF757YJR	36	bronchialepithelialcell	ENCSR000EPX
ENCFF350ASE	36	bronchialepithelialcell	ENCSR000EPX
ENCFF032GZN	36	fibroblastoftheaorticadventitiafemale	ENCSR000EMC
ENCFF723RKN	36	fibroblastoftheaorticadventitiafemale	ENCSR000EMC
ENCFF364VBJ	36	HuH75	ENCSR000EKE
ENCFF885IAD	36	astrocyteofthespinalcord	ENCSR000ENB
ENCFF384CCQ	36	astrocyteofthespinalcord	ENCSR000ENB
ENCFF352QIM	36	MCF7	ENCSR000EKV
ENCFF004ZWR	36	keratinocytefemale	ENCSR000EPQ
ENCFF111DMK	36	keratinocytefemale	ENCSR000EPQ
ENCFF032ZHQ	36	pulmonaryarteryendothelialcellfemale	ENCSR000EOG
ENCFF456KNS	36	neuralstemprogenitorcelloriginatedfromH1	ENCSR278FVO
ENCFF165CHM	36	kidneyfemaleembryo105days	ENCSR953JVX
ENCFF923AHY	36	foreskinkeratinocytemalenewborn	ENCSR724CND
ENCFF832KMA	20	Ishikawatreatedwith002dimethylsulfoxidefor1hour	ENCSR000EIP
ENCFF630JYV	20	HeLaS3treatedwithinterferonalphafor4hours	ENCSR000EJS
ENCFF983QHC	36	leftrenalpelvismaleembryo120days	ENCSR320SVK
ENCFF262FMO	36	muscleofarmmaleembryo104days	ENCSR951XEN
ENCFF733DPB	36	lungembryo112days	ENCSR006IJP
ENCFF662JDU	36	largeintestinefemaleembryo107days	ENCSR563XRP
ENCFF882KAT	36	rightlungfemaleembryo117days	ENCSR845MEJ
ENCFF785GGQ	36	stromalcellofbonemarrowmale	ENCSR000EMH
ENCFF482ZLG	36	stromalcellofbonemarrowmale	ENCSR000EMH
ENCFF334LMK	36	stomachmalechild3years	ENCSR246PXX
ENCFF594MMQ	36	stomachfemaleembryo96days	ENCSR930YSB
ENCFF328FOI	36	fibroblastofskinofleftbicepsmaleembryo97days	ENCSR648GDP
ENCFF186DCB	36	stomachmaleembryo127days	ENCSR608AHQ
ENCFF558JPQ	36	fibroblastofdermisfemaleadult	ENCSR000EPO
ENCFF061GEQ	36	fibroblastofdermisfemaleadult	ENCSR000EPO
ENCFF724NXG	36	iPSDF197	ENCSR440QMR
ENCFF263RQE	36	CD4positivealphabetaTcellfemaleadult33years	ENCSR643GHI
ENCFF022BIA	36	heartfemaleembryo147days	ENCSR533VAF
ENCFF263JEB	36	leftlungmaleembryo105days	ENCSR953WJO
ENCFF023JFG	36	IMR90	ENCSR477RTP
ENCFF560ADH	36	iPSDF47	ENCSR014FPY
ENCFF376RPN	20	GM19239	ENCSR000EJK
ENCFF541OSD	36	largeintestinefemaleembryo120days	ENCSR133SPH
ENCFF399YBZ	36	leftlungfemaleembryo108days	ENCSR456KDF
ENCFF258KTF	36	brainfemaleembryo142days	ENCSR187PYY
ENCFF871ZIO	36	leftrenalcortexinterstitiummaleembryo105days	ENCSR588JXI
ENCFF351ETM	36	brainmicrovascularendothelialcell	ENCSR000ENE
ENCFF419OPC	36	brainmicrovascularendothelialcell	ENCSR000ENE
ENCFF465SCA	36	leftrenalpelvismaleembryo105days	ENCSR016THC
ENCFF652JRP	20	GM10248	ENCSR000EJB
ENCFF368ONB	36	naturalkillercellfemaleadult34years	ENCSR723JLG
ENCFF930UJQ	20	hepatocyte	ENCSR000EJU
ENCFF340AOJ	36	Caco2	ENCSR000EMI
ENCFF233HFA	36	Caco2	ENCSR000EMI
ENCFF200WYL	36	dermisbloodvesselendothelialcellfemaleadult	ENCSR000ENY
ENCFF128EMV	36	dermisbloodvesselendothelialcellfemaleadult	ENCSR000ENY
ENCFF004DBD	36	rightkidneymaleembryo108days	ENCSR414ZUA
ENCFF497SLL	36	RWPE1	ENCSR000ELP
ENCFF917PCI	36	adrenalglandfemaleembryo108days	ENCSR419MZH
ENCFF407WTY	20	HTR8SVneo	ENCSR000EKC
ENCFF098TNV	36	rightlungfemaleembryo105days	ENCSR299INS
ENCFF664ORR	36	renalcortexinterstitiummaleembryo97days	ENCSR550UWM
ENCFF600ZPV	36	fibroblastoflung	ENCSR000EOJ
ENCFF876COX	36	fibroblastoflung	ENCSR000EOJ
